domain,curve,pilot_fraction,pilot_points,target_horizon,method,prediction,absolute_error,lower,upper,width,covered,minimum_pilot_radius
NMT,"log_perplexity|6 Enc, 6 Dec",0.5,6,32.0,continuous_cert_1.0x,0.20574143329549027,0.1344148243968174,0.20353370880606975,0.2079491577849108,0.004415448978841052,0,0.005226866468835197
NMT,"log_perplexity|6 Enc, 6 Dec",0.5,6,32.0,continuous_cert_2.0x,0.2333328204450452,0.10682343724726248,0.18888385772186417,0.2777817831682262,0.08889792544636205,0,0.005226866468835197
NMT,"log_perplexity|6 Enc, 6 Dec",0.5,6,32.0,continuous_cert_3.0x,0.2501436413400214,0.09001261635228625,0.1771787438837319,0.323108538796311,0.14592979491257912,0,0.005226866468835197
NMT,"log_perplexity|6 Enc, 6 Dec",0.5,6,32.0,continuous_cert_4.0x,0.2586389953484591,0.0815172623438486,0.16547363004559945,0.3518043606513187,0.18633073060571925,1,0.005226866468835197
NMT,"log_perplexity|6 Enc, 6 Dec",0.5,6,32.0,one_power,0.29698217021337353,0.04317408747893414,nan,nan,,,0.005226866468835197
NMT,"log_perplexity|6 Enc, 6 Dec",0.5,6,32.0,two_power,0.20057670520795057,0.1395795524843571,nan,nan,,,0.005226866468835197
NMT,"log_perplexity|6 Enc, 6 Dec",0.5,6,32.0,one_power_bootstrap,0.29698217021337353,0.04317408747893414,0.24685195711437743,0.3464283859118539,0.09957642879747644,1,0.005226866468835197
NMT,"log_perplexity|6 Enc, 6 Dec",0.7,8,8.0,continuous_cert_1.0x,0.27479785627498193,0.06535840141732574,0.2738057442454754,0.2757899683044885,0.0019842240590131066,0,0.010375409316060655
NMT,"log_perplexity|6 Enc, 6 Dec",0.7,8,8.0,continuous_cert_2.0x,0.279660869610296,0.06049538808201166,0.21979035640693506,0.3395313828136569,0.11974102640672185,0,0.010375409316060655
NMT,"log_perplexity|6 Enc, 6 Dec",0.7,8,8.0,continuous_cert_3.0x,0.2826902581136927,0.05746599957861498,0.2040231614647813,0.36135735476260405,0.15733419329782275,1,0.010375409316060655
NMT,"log_perplexity|6 Enc, 6 Dec",0.7,8,8.0,continuous_cert_4.0x,0.2860449011185737,0.05411135657373395,0.19291243889935022,0.37917736333779717,0.18626492443844694,1,0.010375409316060655
